"","X","base","date","annee"
"1",1,2176,1851,1851
"2",2,9565,1852,1852
"3",3,11222,1853,1853
"4",4,10458,1854,1854
"5",5,9153,1855,1855
"6",6,8409,1856,1856
"7",7,8881,1857,1857
"8",8,9188,1858,1858
"9",9,7876,1859,1859
"10",10,11964,1860,1860
"11",11,15722,1861,1861
"12",12,15605,1862,1862
"13",13,12569,1863,1863
"14",14,12152,1864,1864
"15",15,13352,1865,1865
"16",16,9634,1866,1866
"17",17,10381,1867,1867
"18",18,10877,1868,1868
"19",19,10439,1869,1869
"20",20,12303,1870,1870
"21",21,15584,1871,1871
"22",22,16410,1872,1872
"23",23,15419,1873,1873
"24",24,16565,1874,1874
"25",25,15140,1875,1875
"26",26,16089,1876,1876
"27",27,13983,1877,1877
"28",28,19307,1878,1878
"29",29,21324,1879,1879
"30",30,21772,1880,1880
"31",31,21729,1881,1881
"32",32,21614,1882,1882
"33",33,25154,1883,1883
"34",34,25899,1884,1884
"35",35,25191,1885,1885
"36",36,24077,1886,1886
"37",37,23469,1887,1887
"38",38,24063,1888,1888
"39",39,24113,1889,1889
"40",40,23774,1890,1890
"41",41,24600,1891,1891
"42",42,26991,1892,1892
"43",43,28034,1893,1893
"44",44,29435,1894,1894
"45",45,32343,1895,1895
"46",46,26402,1896,1896
"47",47,27787,1897,1897
"48",48,31674,1898,1898
"49",49,31130,1899,1899
"50",50,33379,1900,1900
"51",51,32245,1901,1901
"52",52,32923,1902,1902
"53",53,33522,1903,1903
"54",54,29159,1904,1904
"55",55,26865,1905,1905
"56",56,27538,1906,1906
"57",57,30298,1907,1907
"58",58,29798,1908,1908
"59",59,29931,1909,1909
"60",60,33972,1910,1910
"61",61,33173,1911,1911
"62",62,36296,1912,1912
"63",63,34431,1913,1913
"64",64,38081,1914,1914
"65",65,40053,1915,1915
"66",66,35852,1916,1916
"67",67,34259,1917,1917
"68",68,33618,1918,1918
"69",69,35014,1919,1919
"70",70,37612,1920,1920
"71",71,42843,1921,1921
"72",72,44771,1922,1922
"73",73,44656,1923,1923
"74",74,44019,1924,1924
"75",75,47980,1925,1925
"76",76,54035,1926,1926
"77",77,59433,1927,1927
"78",78,61197,1928,1928
"79",79,61510,1929,1929
"80",80,63656,1930,1930
"81",81,62631,1931,1931
"82",82,59423,1932,1932
"83",83,60107,1933,1933
"84",84,61954,1934,1934
"85",85,61277,1935,1935
"86",86,62780,1936,1936
"87",87,58988,1937,1937
"88",88,54420,1938,1938
"89",89,57816,1939,1939
"90",90,58098,1940,1940
"91",91,61907,1941,1941
"92",92,58439,1942,1942
"93",93,52314,1943,1943
"94",94,50255,1944,1944
"95",95,47016,1945,1945
"96",96,51614,1946,1946
"97",97,54869,1947,1947
"98",98,51485,1948,1948
"99",99,53658,1949,1949
"100",100,53102,1950,1950
"101",101,51842,1951,1951
"102",102,52473,1952,1952
"103",103,50793,1953,1953
"104",104,48907,1954,1954
"105",105,48596,1955,1955
"106",106,49283,1956,1956
"107",107,49026,1957,1957
"108",108,48447,1958,1958
"109",109,50530,1959,1959
"110",110,51995,1960,1960
"111",111,51459,1961,1961
"112",112,50187,1962,1962
"113",113,44670,1963,1963
"114",114,56893,1964,1964
"115",115,49734,1965,1965
"116",116,52316,1966,1966
"117",117,49858,1967,1967
"118",118,50259,1968,1968
"119",119,48630,1969,1969
"120",120,46876,1970,1970
"121",121,48361,1971,1971
"122",122,51145,1972,1972
"123",123,52795,1973,1973
"124",124,51647,1974,1974
"125",125,52986,1975,1975
"126",126,49395,1976,1976
"127",127,53827,1977,1977
"128",128,42050,1978,1978
"129",129,51781,1979,1979
"130",130,51009,1980,1980
"131",131,55092,1981,1981
"132",132,56570,1982,1982
"133",133,55627,1983,1983
"134",134,58728,1984,1984
"135",135,57825,1985,1985
"136",136,60019,1986,1986
"137",137,59019,1987,1987
"138",138,58589,1988,1988
